subject,night,condition,type,time_span,feature,data
AB31R,0,Spontaneous,imu,last_hour,ss_max_position,0.13273690536350494
AB31R,0,Spontaneous,imu,last_hour,ss_mean,442.98828137500004
AB31R,0,Spontaneous,imu,last_hour,ss_mean_60,442.98828137500004
AB31R,0,Spontaneous,imu,last_hour,ss_median,372.1484375
AB31R,0,Spontaneous,imu,last_hour,ss_median_60,372.1484375
AB31R,0,Spontaneous,imu,last_hour,ss_number,8.0
AB31R,0,Spontaneous,imu,last_hour,ss_number_60,8.0
AB31R,0,Spontaneous,imu,last_hour,ss_skewness,1.2976619988206333
AB31R,0,Spontaneous,imu,last_hour,ss_skewness_60,1.2976619988206333
AB31R,0,Spontaneous,imu,last_hour,ss_std,366.65760524035437
AB31R,0,Spontaneous,imu,last_hour,ss_std_60,366.65760524035437
AB31R,0,Spontaneous,imu,total,ss_max,3776.523437
AB31R,0,Spontaneous,imu,total,ss_max_60,3776.523437
AB31R,0,Spontaneous,imu,total,ss_max_position,0.41649866727985724
AB31R,0,Spontaneous,imu,total,ss_mean,611.0184831951219
AB31R,0,Spontaneous,imu,total,ss_mean_60,692.0703124444444
AB31R,0,Spontaneous,imu,total,ss_median,318.828125
AB31R,0,Spontaneous,imu,total,ss_median_60,375.44921899999997
AB31R,0,Spontaneous,imu,total,ss_number,41.0
AB31R,0,Spontaneous,imu,total,ss_number_60,36.0
AB31R,0,Spontaneous,imu,total,ss_skewness,2.3905850233564787
AB31R,0,Spontaneous,imu,total,ss_skewness_60,2.2617745940954745
AB31R,0,Spontaneous,imu,total,ss_std,818.6661059240511
AB31R,0,Spontaneous,imu,total,ss_std_60,842.9390935392321
AB31R,0,Spontaneous,selfreport,last_30min,ss_max,943.4375
AB31R,0,Spontaneous,selfreport,last_30min,ss_max_60,943.4375
AB31R,0,Spontaneous,selfreport,last_30min,ss_max_position,0.3597024724970244
AB31R,0,Spontaneous,selfreport,last_30min,ss_mean,294.1992188333333
AB31R,0,Spontaneous,selfreport,last_30min,ss_mean_60,348.17968759999997
AB31R,0,Spontaneous,selfreport,last_30min,ss_median,202.2851565
AB31R,0,Spontaneous,selfreport,last_30min,ss_median_60,208.632813
AB31R,0,Spontaneous,selfreport,last_30min,ss_number,6.0
AB31R,0,Spontaneous,selfreport,last_30min,ss_number_60,5.0
AB31R,0,Spontaneous,selfreport,last_30min,ss_skewness,1.5251117799639797
AB31R,0,Spontaneous,selfreport,last_30min,ss_skewness_60,1.414260834439259
AB31R,0,Spontaneous,selfreport,last_30min,ss_std,328.8464127966201
AB31R,0,Spontaneous,selfreport,last_30min,ss_std_60,336.631506917413
AB31R,0,Spontaneous,selfreport,last_hour,ss_max,942.929688
AB31R,0,Spontaneous,selfreport,last_hour,ss_max_60,942.929688
AB31R,0,Spontaneous,selfreport,last_hour,ss_max_position,0.6799063581348853
AB31R,0,Spontaneous,selfreport,last_hour,ss_mean,393.70225700000003
AB31R,0,Spontaneous,selfreport,last_hour,ss_mean_60,439.87792975
AB31R,0,Spontaneous,selfreport,last_hour,ss_median,338.632813
AB31R,0,Spontaneous,selfreport,last_hour,ss_median_60,378.49609399999997
AB31R,0,Spontaneous,selfreport,last_hour,ss_number,9.0
AB31R,0,Spontaneous,selfreport,last_hour,ss_number_60,8.0
AB31R,0,Spontaneous,selfreport,last_hour,ss_skewness,0.7770374436070007
AB31R,0,Spontaneous,selfreport,last_hour,ss_skewness_60,0.971780185005487
AB31R,0,Spontaneous,selfreport,last_hour,ss_std,280.78060674526444
AB31R,0,Spontaneous,selfreport,last_hour,ss_std_60,261.09224278897074
AB31R,0,Spontaneous,selfreport,total,ss_max,3777.03125
AB31R,0,Spontaneous,selfreport,total,ss_max_60,3777.03125
AB31R,0,Spontaneous,selfreport,total,ss_max_position,0.63349655148179
AB31R,0,Spontaneous,selfreport,total,ss_mean,310.1022135166667
AB31R,0,Spontaneous,selfreport,total,ss_mean_60,603.6601563
AB31R,0,Spontaneous,selfreport,total,ss_median,69.746094
AB31R,0,Spontaneous,selfreport,total,ss_median_60,265.76171850000003
AB31R,0,Spontaneous,selfreport,total,ss_number,60.0
AB31R,0,Spontaneous,selfreport,total,ss_number_60,30.0
AB31R,0,Spontaneous,selfreport,total,ss_skewness,3.663789307815796
AB31R,0,Spontaneous,selfreport,total,ss_skewness_60,2.5129102125953042
